question,answer
What were the font-versions that were available from Core fonts for the Web project published in 2000?,"The font-versions that were available from Core fonts for the Web project were 2.x (e.g. 2.82 for Arial, Times New Roman and Courier New for MS Windows), published in 2000."
In what films has Shruti Haasan made a cameo appearance?,Shruti Haasan made a cameo appearance in Tamil-Hindi bilingual directorial Hey Ram (2000).
"On the Assyrian King List, for whom is Sargon the son and successor of and for whom is he the father and predecessor of?","On the Assyrian King List, Sargon appears as the son and successor of Ikunum, and the father and predecessor of Puzur-Ashur II."
How many Stanley Cup championships did Toronto Maple Leafs and Montreal Canadiens win?,"The Toronto Maple Leafs has won thirteen Stanley Cup championships, and the Montreal Canadiens won 24 championships."
What were the first and final Copa América matches played at Elías Aguirre?,"The game that opened the Elías Aguirre's participation in this tournament was a group stage 2–2 draw between Mexico and Uruguay, and the game that closed was a 1–0 Argentina win over hosts Peru in the quarterfinals."
How many numbers do the NSR H class have?,"NSR H class were numbered twice in LMS, the first number was in the 23xx series and the second number in a series from 8681 to 8684."
"What awards did the album ""Mirotic"" win?","Mirotic won the Album of the Year at the Golden Disk Awards, and at the 2008 Mnet Music Awards."
Which leagues did Ivor Evans play in during his career?,"During his career, Ivor Evans played in the Canadian Soccer League, the American Professional Soccer League, and in the A-League: all with the Vancouver 86ers."
"Did any Reading RF players join new teams on February 8, 2012?","On 8 February 2012, Angus MacDonald joined Torquay United until the end of the season, and Brett Williams joined Northampton Town."
What records did Usain Bolt hold in the Men's 200 metre race prior to 2009?,Bolt had a record of 19.30 seconds in the Men's 200 metres.
What was Hilary Devey doing as a presenter role in 2012?,"In 2012, Devey presented for BBC Two, Hilary Devey's Women at the Top."
Which sets of partners were the first and second runners-up in U.S. Season 27 of Dancing with the Stars?,"Actress and activist Evanna Lynch with Keo Motsepe and model and social media personality Alexis Ren with Alan Bersten were the first and second runners-up, respectively."
How did Sotherton do in the Shot Put and in the 200 meter race?,"Sotherton scored a season's best of 14.14 m in the shot put and a personal best in the 200 m, with 23.40."
How many infiltrations occured at the Jordanian border in 2015 and how many people were involved?,There were 85 infiltrations at the Jordanian border in 2015 involving 132 people.
What records does Park hold in the 4x4x4 category?,"Park holds the world records for single and average of five 4x4x4 solves: 18.42 seconds and 21.13 seconds, respectively."
When was the second time that Akron Wingfoots won the AAU championship?,Akron Wingfoots won the AAU championship again in 1967.
When was Groningen built and put into service?,"Groningen was laid down on 9 April 2010, launched on 21 April 2011 and commissioned on 29 November 2013."
"Who were the team leaders in passing, rushing, and receiving yards for the 2008 Oregon Ducks football team against Washington?","Jeremiah Masoli had 126 passing yards and 2 touchdowns on 9 completions, Jeremiah Johnson ran for a total of 124 yards and 2 touchdowns on 15 carries and receiver Scott had 117 yards receiving and a touchdown on 6 receptions."
How did the Reform Party's candidate perform in Florida in the 2004 presidential election?,"In 2004, Ralph Nader received 32,971 votes in Florida."
Which singles did Kazaky release in 2014 and who shot the music video for the last one?,"In 2014, the singles released ""The Sun"", ""Magic Pie"" and ""Pulse"", with the ""Pulse"" music video shot by director Radislav Lukin."
What were the enrollment numbers for Dr. Samuel L. Banks High School between 2006 and 2007?,"In 2006–2007, the Dr. Samuel L. Banks High School's enrollment was 735 and this decreased to 561 during the next school year."
What was England's total score against the West Indies?,England made 254 with Roberts taking 5-wicket in the match (5-63).
Who were the players in the championship?,"Players in the World Chess Championship were: Max Euwe (from the Netherlands), Mikhail Botvinnik, Vasily Smyslov, Paul Keres (from the USSR), and Samuel Reshevsky (from the USA)."
What kind of ships can be accommodated by the shipyard's building ways?,"Admiralty, the shipyard's building ways can accommodate ships of up to 70,000 tonnes deadweight (DWT), and 35 metres (115 ft) in width."
