Type,Question
what were the,What were the font-versions that were available from Core fonts for the Web project published in 2000?
in what films has,In what films has Shruti Haasan made a cameo appearance?
is he the,"On the Assyrian King List, for whom is Sargon the son and successor of and for whom is he the father and predecessor of?"
how many stanley,How many Stanley Cup championships did Toronto Maple Leafs and Montreal Canadiens win?
what were the,What were the first and final Copa América matches played at Elías Aguirre?
how many numbers,How many numbers do the NSR H class have?
what awards did,"What awards did the album ""Mirotic"" win?"
which leagues did,Which leagues did Ivor Evans play in during his career?
did any reading,"Did any Reading RF players join new teams on February 8, 2012?"
what records did,What records did Usain Bolt hold in the Men's 200 metre race prior to 2009?
what was hilary,What was Hilary Devey doing as a presenter role in 2012?
which sets of,Which sets of partners were the first and second runners-up in U.S. Season 27 of Dancing with the Stars?
how did sotherton,How did Sotherton do in the Shot Put and in the 200 meter race?
how many infiltrations,How many infiltrations occured at the Jordanian border in 2015 and how many people were involved?
what records does,What records does Park hold in the 4x4x4 category?
when was the,When was the second time that Akron Wingfoots won the AAU championship?
when was groningen,When was Groningen built and put into service?
who were the,"Who were the team leaders in passing, rushing, and receiving yards for the 2008 Oregon Ducks football team against Washington?"
how did the,How did the Reform Party's candidate perform in Florida in the 2004 presidential election?
which singles did,Which singles did Kazaky release in 2014 and who shot the music video for the last one?
what were the,What were the enrollment numbers for Dr. Samuel L. Banks High School between 2006 and 2007?
what was england,What was England's total score against the West Indies?
who were the,Who were the players in the championship?
what kind of,What kind of ships can be accommodated by the shipyard's building ways?
what was the,What was the fourth highest grossing Bollywood film of 1969?
what were the,What were the biggest operators by percentage?
what is the,"What is the song ""Mundhinam Parthene""?"
when and in,When and in which category was Ling Kai nominated for her first YES 933 Singapore Hit Award?
what are the,What are the provinces contained in the Walloon Region?
in which film show,"In which film/show did Sofia Vassilieva play as Eloise, Ariel DuBois, and Kate Fitzgerald?"
what films did,"In 2009, what films did Ananya Chatterjee appear in?"
what was the,What was the first institute of medical sciences in India and when did it open?
who directed the,"Who directed the movie ""Naukari""?"
who are presidents,Who are presidents of Lithuania in 1940?
which stadium among,Which stadium among all Triple-A stadiums has the largest seating capacity?
who were the,Who were the top 3 parties?
what was the,"What was the game played in Varsity Stadium on August 15, 1960, and why was it special temporally?"
when were lashauntea,"When were LaShauntea Moore 200 m and 100 m best, and what were the times recorded?"
did minnesota amendment,Did Minnesota Amendment 2 pass?
what is the,What is the 86th Guards Fighter Aviation Regiment equipped with between 1942 and 1943?
did sophie s,"Did Sophie's ""Herself"" win any award?"
what is marie,What is Marie Fouquet name after?
what was the,What was the change in the combined ratio of Lloyd's of London from 2017 to 2018?
when and where,When and where is Huracán broadcasted in Mexico?
how many times,How many times was Quintus Fabius Maximus Verrucosus in consul?
who had the,Who had the highest save percentage in the 2005 IIHF World U18 Championship Division III Qualification?
which countries are,Which countries are included in the Netball Quad Series?
how did matthieu,How did Matthieu Lecuyer perform when driving the Oreca 09?
