question,sparql
"Who is the current president of Brigham Young University-Hawaii (BYU-Hawaii), and what number president is he overall?","SELECT?obj WHERE { wd:Q5106 p:P488?s.?s ps:P488?obj.?s pq:P1545?x filter(contains(?x,'4')) }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70"
How jumboized was the tanker T3-S2-A3?,SELECT (COUNT(?obj) AS?value ) { wd:Q80130 wdt:P2236?obj } 11354 }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  } 
"How many appearances did Michael McIndoe make for Doncaster Rovers, and how many goals did he score?",SELECT?value WHERE { wd:Q31236 p:P54?s.?s ps:P54 wd:Q3123669.?s pq:P1351?value}set')).?s pq:P1351?value}}set')) } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } 
What role did Toby Hemingway play in The Covenant in 2006?,"SELECT?obj WHERE { wd:Q9088 p:P161?s.?s ps:P161?obj.?s pq:P580?x filter(contains(YEAR(?x),'2006')) }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  } "
With which team did Frank de Boer spend 5 years and with which other teams did he have short spells?,"SELECT?obj WHERE { wd:Q23379 p:P54?s.?s ps:P54?obj.?s pq:P582?x filter(contains(?x,'2.0')) }  } 86')) }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }"
What were the highlights of the second match at the 2012–13 Momentum One Day Cup?,"SELECT?obj WHERE { wd:Q470505 p:P54?s.?s ps:P54?obj.?s pq:P1350?x filter(contains(YEAR(?x),'2012')) }  wd:Q19901 }  N }  N.?s pq:P805 wd:Q303473 }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N }  N"
What was La Tahzan nominated for at the 2014 Indonesian Movie Awards?,SELECT?obj WHERE { wd:Q9390 p:P1411?s.?s ps:P1411?obj.?s pq:P805 wd:Q917163 }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  } 
"Who coached the Nebraska Cornhuskers from 1896-1898, and how did they do?",SELECT?answer WHERE { wd:Q28 wd:Q3140 wdt:P286?answer.?answer wdt:P793 wd:Q374650}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
Which top flight First Division teams were most recently in the Premier League?,select distinct?obj where { wd:Q1055 wdt:P1352?obj.?obj wdt:P31 wd:Q476028 } 70 } 70.?obj wdt:P31 wd:Q476028 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70
What events were included in the 1923 Women's World Games?,SELECT?answer WHERE { wd:Q4752074 wdt:P276?X.?X wdt:P150?answer}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}}49}49}49}49}49}49}49
Did Abdallah Salem el-Badri serve as secretary general of OPEC?,ASK WHERE { wd:Q43 wdt:P39 wd:Q655407 } e. wd:Q43 wdt:P39 wd:Q28578 }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }
What films did Muthiah work in 2008 and 2009 and who directed them?,SELECT?answer WHERE { wd:Q2802826 wdt:P136?answer.?answer wdt:P57 wd:Q7997}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
What was the outcome of the 1967 Japanese general election?,select distinct?obj where { wd:Q505802 wdt:P2522?obj.?obj wdt:P31 wd:Q25379 } 72 } 72. } 722 } 722 } 722 } 722 } 722 } 722 } 722 } 722 } 722 } 722 } 722 } 722 } 722 } 722 } 722 } 722 }  456 }  456 }  456 }  456 }  456 }  456 }  456 }  456 }  456 }  456 }  456
What club did Brown Ideye move to in2017?,"SELECT?obj WHERE { wd:Q2705 p:P54?s.?s ps:P54?obj.?s pq:P582?x filter(contains(YEAR(?x),'2017')) }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  } "
Who did the Indigenous All Stars initially play in the All Stars Match?,SELECT?value WHERE { wd:Q614141 p:P54?s.?s ps:P54 wd:Q140541.?s pq:P580?value}02708 } e.?s pq:P580?value}02708 } e  } e  } e   } e   } e   } e   } e   } e    } e    } e     } e                            e           
Who did Truman appoint as US Ambassador to Mexico in 1950 and how long did they serve in that role?,SELECT?value WHERE { wd:Q7689 p:P39?s.?s ps:P39 wd:Q466956.?s pq:P580?value}4539 } .?s pq:P580?value}4539 }  } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e }
When did Kari Tiainen win the International Six Days Enduro (ISDE) World Trophy for Finland?,SELECT?value WHERE { wd:Q966952 p:P166?s.?s ps:P166 wd:Q202699.?s pq:P585?value}}586 } e.?s pq:P585?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
"How long did C. W. Martin serve as coach for North Carolina, what were the years, and what was his overall record?",SELECT?value WHERE { wd:Q21080 p:P54?s.?s ps:P54 wd:Q1442.?s pq:P582?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
What date and region was Sun released via Matador?,"SELECT?value WHERE { wd:Q9669 p:P577?s.?s ps:P577?x filter(contains(?x,'27-0-0')) of.ogg')).?s pq:P291?value}}set wdt:P1344.?s pq:P291?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}setm')) } e?value}}set"
What were Anoop's first four films?,SELECT?obj WHERE { wd:Q5138 p:P747?s.?s ps:P747?obj.?s pq:P805 wd:Q18509735 } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e }
