question,sparql
"Who is the current president of Brigham Young University-Hawaii (BYU-Hawaii), and what number president is he overall?",SELECT distinct ?uri WHERE { ?uri dbr:Brhamham_YEAR(?uri ) }
How jumboized was the tanker T3-S2-A3?,SELECT distinct ?uri WHERE { ?uri dbr:T3-S2-A3 ?v1 . ?v1 dbo:jumboized ?uri }
"How many appearances did Michael McIndoe make for Doncaster Rovers, and how many goals did he score?",SELECT ?obj WHERE { dbr:Michael_McIndoe dbo:present_in_work ?obj . ?obj dbo:point_in_time ?obj } ORDER BY DESC(?obj) LIMIT 5
What role did Toby Hemingway play in The Covenant in 2006?,SELECT distinct ?obj WHERE { dbr:Toby_Hemingway dbo:member_of_the_Convent ?obj . ?obj dbo:member_of_the_Convent dbo:member_of_The_Convent }
With which team did Frank de Boer spend 5 years and with which other teams did he have short spells?,SELECT distinct ?uri WHERE { ?uri dbr:Frank_de_Boer ?v1 . ?v1 dbo:member_of_sports_team ?uri . ?uri dbo:member_of_sports_team ?uri }
What were the highlights of the second match at the 2012–13 Momentum One Day Cup?,SELECT distinct ?obj WHERE { dbr:2012–13_Momentum_One_Day_Cup dbo:significant_event ?obj }
What was La Tahzan nominated for at the 2014 Indonesian Movie Awards?,SELECT distinct ?obj WHERE { dbr:La_Tahzan dbo:nominated_for ?obj . ?obj dbo:nominated_for dbo:Award_for_2014_Indonesian_Movie_Awards }
"Who coached the Nebraska Cornhuskers from 1896-1898, and how did they do?",SELECT ?obj WHERE { dbr:Nebraska_Cornhuskers dbo:coached_by ?obj . ?obj dbo:start_time ?obj }
Which top flight First Division teams were most recently in the Premier League?,SELECT distinct ?uri WHERE { ?uri dbr:First_Division_team ?v1 . ?v1 dbo:member_of_sports_team ?uri . ?uri dbo:member_of_sports_team dbo:member_of_sports_team }
What events were included in the 1923 Women's World Games?,SELECT distinct ?uri WHERE { ?uri dbr:1923_Womens_World_Games ?v1 . ?v1 dbo:event ?uri }
Did Abdallah Salem el-Badri serve as secretary general of OPEC?,ASK WHERE { dbr:Abdallah_Saladallah_Saladri dbo:secretary_general_of_Operation dbo:position }
What films did Muthiah work in 2008 and 2009 and who directed them?,SELECT ?obj WHERE { dbr:Muthiah dbo:film ?obj . ?obj dbo:film ?obj . ?obj dbo:film r:2008_2009_Royal }
What was the outcome of the 1967 Japanese general election?,SELECT distinct ?obj WHERE { dbr:Japan_General_Election dbo:issue ?obj }
What club did Brown Ideye move to in2017?,SELECT distinct ?obj WHERE { dbr:Bobby_Ideye dbo:member_of_sports_team ?obj . ?obj dbo:member_of_sports_team dbo:member_of_sports_team }
Who did the Indigenous All Stars initially play in the All Stars Match?,SELECT distinct ?sbj WHERE { ?sbj dbo:member_of dbr:All_Stars_match . ?sbj rdf:instance_of dbr:indigenous_All_Stars_match }
Who did Truman appoint as US Ambassador to Mexico in 1950 and how long did they serve in that role?,SELECT ?obj WHERE { dbr:Truman dbo:position_held ?obj . ?obj dbo:position_held dbo:US_ambassador_to_Mexico } ORDER BY DESC(?obj) LIMIT 5
When did Kari Tiainen win the International Six Days Enduro (ISDE) World Trophy for Finland?,SELECT ?value WHERE { dbr:kari_tiainen dbo:award_received ?value }
"How long did C. W. Martin serve as coach for North Carolina, what were the years, and what was his overall record?",SELECT ?value WHERE { }
What date and region was Sun released via Matador?,SELECT distinct ?uri WHERE { ?uri dbr:Sun ?v1 . ?v1 dbo:publication_date ?uri }
What were Anoop's first four films?,SELECT distinct ?uri WHERE { ?uri dbr:Anoop ?v1 . ?v1 dbo:first_film ?uri }
Who received two Tony Awards for her role in Waitress and Carousel?,SELECT distinct ?obj WHERE { dbr:Q22929 dbo:award_received ?obj . ?obj dbo:award_received dbo:Tony_Awards }
