Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities,Original Question
Culture,0.7017,Political,0.3724,Business and Economic,0.2929,Brigham Young University-Hawaii (BYU-Hawaii,"Who is the current president of Brigham Young University-Hawaii (BYU-Hawaii), and what number president is he overall?"
Business and Economic,0.2751,Environmental,0.1928,Warfare and Conflict,0.1845,T3-S2-A3,How jumboized was the tanker T3-S2-A3?
Sports,0.9594,Media and Entertainment,0.2898,Culture,0.2317,"Michael McIndoe, Doncaster Rovers","How many appearances did Michael McIndoe make for Doncaster Rovers, and how many goals did he score?"
Media and Entertainment,0.8543,Warfare and Conflict,0.3651,Culture,0.2404,"The Covenant, 2006, Toby Hemingway",What role did Toby Hemingway play in The Covenant in 2006?
Sports,0.8564,Culture,0.8083,Business and Economic,0.2254,"Frank de Boer, 5 years",With which team did Frank de Boer spend 5 years and with which other teams did he have short spells?
Sports,0.9641,Media and Entertainment,0.4665,Culture,0.3608,"Momentum One Day Cup, second",What were the highlights of the second match at the 2012–13 Momentum One Day Cup?
Media and Entertainment,0.9585,Culture,0.1568,Political,0.127,"La Tahzan, the 2014 Indonesian Movie Awards",What was La Tahzan nominated for at the 2014 Indonesian Movie Awards?
Sports,0.9916,Culture,0.417,Society,0.1472,"the Nebraska Cornhuskers, 1896-1898","Who coached the Nebraska Cornhuskers from 1896-1898, and how did they do?"
Sports,0.0864,Culture,0.0716,Society,0.0326,First Division,Which top flight First Division teams were most recently in the Premier League?
Sports,0.9872,Culture,0.4884,Society,0.2388,"Women's World Games, 1923",What events were included in the 1923 Women's World Games?
Political,0.8571,Business and Economic,0.3309,Warfare and Conflict,0.1443,"Abdallah Salem el-Badri, OPEC",Did Abdallah Salem el-Badri serve as secretary general of OPEC?
Media and Entertainment,0.8051,Culture,0.7879,Warfare and Conflict,0.55,"2008, 2009",What films did Muthiah work in 2008 and 2009 and who directed them?
Political,0.9227,Business and Economic,0.2976,Society,0.1331,"Japanese, 1967",What was the outcome of the 1967 Japanese general election?
Sports,0.7928,Culture,0.4851,Business and Economic,0.349,Brown Ideye,What club did Brown Ideye move to in2017?
Sports,0.9721,Culture,0.8438,Science and Technology,0.196,the All Stars Match,Who did the Indigenous All Stars initially play in the All Stars Match?
Culture,0.6889,Political,0.5464,Society,0.2802,"1950, Mexico, Truman",Who did Truman appoint as US Ambassador to Mexico in 1950 and how long did they serve in that role?
Sports,0.9737,Culture,0.2171,Society,0.0814,"Kari Tiainen, Trophy, Finland, the International Six Days Enduro",When did Kari Tiainen win the International Six Days Enduro (ISDE) World Trophy for Finland?
Sports,0.9418,Culture,0.9074,Society,0.4897,"C. W. Martin, the years, North Carolina","How long did C. W. Martin serve as coach for North Carolina, what were the years, and what was his overall record?"
Media and Entertainment,0.8857,Culture,0.5288,Science and Technology,0.4014,Sun,What date and region was Sun released via Matador?
Media and Entertainment,0.8564,Culture,0.6318,Warfare and Conflict,0.2169,"Anoop, four, first",What were Anoop's first four films?
Media and Entertainment,0.9736,Culture,0.0927,Society,0.0226,"Tony Awards, two",Who received two Tony Awards for her role in Waitress and Carousel?
Media and Entertainment,0.6169,Culture,0.13,Warfare and Conflict,0.0584,"2008, Iron Man, the Marvel Cinematic Universe",Which is the sequel to the 2008 film Iron Man and which number is it in the Marvel Cinematic Universe list?
Sports,0.9928,Media and Entertainment,0.4374,Culture,0.1398,"The Perth Wildcats, Perth Arena, 14,846","How many seats do The Perth Wildcats have 14,846 seats at Perth Arena?"
Sports,0.7856,Education,0.7855,Culture,0.7747,"Emporia State, Toby Wynn's, his first year",What was Toby Wynn's result in his first year at Emporia State?
Political,0.833,Culture,0.2798,Society,0.1279,"Plymouth, Rogers",When was Rogers the Mayor of Plymouth?
Sports,0.9429,Culture,0.6889,Warfare and Conflict,0.3011,"Masakazu Imanari, Yoshiro Maeda, Tatsunao Nagakura",What honor did Masakazu Imanari achieve twice by defeating Tatsunao Nagakura and Yoshiro Maeda?
Sports,0.5254,Culture,0.4899,Society,0.3519,3.0,What are the power and engine discrepancies in the 3.0 L supercharged model?
Sports,0.9221,Culture,0.3994,Society,0.0725,"Hristo Yanev, CSKA Sofia, six seasons","During his six seasons at CSKA Sofia, how many goals and matches did Hristo Yanev score and play at the club?"
Media and Entertainment,0.9498,Culture,0.7137,Art,0.3462,"2017, Resorts World Manila, the Newport Performing Arts Theater, Jeremy Potts, Noel Comia Jr.","In which production was Noel Comia Jr. cast as ""Jeremy Potts"" at the Newport Performing Arts Theater in Resorts World Manila in 2017?"
Media and Entertainment,0.9559,Culture,0.2594,Art,0.2567,"2015, Love Me Right",Who wrote Exo’s 2015 single “Love Me Right”?
Media and Entertainment,0.8398,Culture,0.7489,Warfare and Conflict,0.5227,"2013, Film Fleadh, Kelly Thornton",What nomination did Kelly Thornton receive at the 2013 Galway Film Fleadh?
Media and Entertainment,0.9093,Warfare and Conflict,0.1001,Culture,0.0449,"canadian, Approved, second",What was the second single from Approved and when did it air on canadian rock radio stations?
Media and Entertainment,0.9103,Culture,0.7287,Business and Economic,0.4898,"one year, 87,669","Which Crystal kay album sold 87,669 copies in one year and what year did this amount of copies sell?"
Sports,0.971,Culture,0.6815,Media and Entertainment,0.5873,"Javier Méndez, 2014, 2013, Rentistasin 2015",Where did Javier Méndez playin 2013 and 2014 before joining Rentistasin 2015?
Sports,0.9802,Business and Economic,0.5109,Culture,0.433,"what year, Syracuse, first",In what year did Syracuse win its first national championship and against what opponent?
Media and Entertainment,0.9151,Sports,0.0538,Warfare and Conflict,0.0196,"Gray Haddock, Tekken",What role did Gray Haddock play in the movie Tekken?
