label,count,parent,id
what,19948,,what
is,7708,what,what/is
how,7146,,how
the,7028,what/is,what/is/the
which,5819,,which
many,5790,how,how/many
was,4472,what,what/was
the,4079,what/was,what/was/the
who,3280,,who
other,1698,,other
when,1216,,when
in,903,,in
was,791,who,who/was
is,659,,is
the,611,who/was,who/was/the
were,602,what,what/were
did,573,,did
s,562,what,what/s
percent,549,how/many,how/many/percent
the,532,what/s,what/s/the
did,529,how,how/did
what,524,in,in/what
where,515,,where
are,510,what,what/are
the,489,what/were,what/were/the
is,486,who,who/is
year,433,what,what/year
the,415,what/are,what/are/the
the,395,is,is/the
the,388,who/is,who/is/the
were,375,who,who/were
was,346,when,when/was
which,344,in,in/which
did,340,when,when/did
club,340,which,which/club
times,328,how/many,how/many/times
did,288,which/club,which/club/did
percentage,276,how/many,how/many/percentage
won,273,who,who/won
much,259,how,how/much
percentage,230,what,what/percentage
date,229,what,what/date
did,221,what,what/did
the,220,who/were,who/were/the
the,212,when/was,when/was/the
the,210,who/won,who/won/the
did,208,what/year,what/year/did
goals,191,how/many,how/many/goals
of,187,what/percentage,what/percentage/of
year,182,in/what,in/what/year
team,182,which,which/team
did,172,who,who/did
million,172,how/many,how/many/million
had,172,who,who/had
roles,168,what,what/roles
long,167,how,how/long
did,163,where,where/did
percent,162,what,what/percent
games,161,how/many,how/many/games
of,159,what/percent,what/percent/of
was,157,what/year,what/year/was
team,152,what,what/team
people,149,how/many,how/many/people
country,144,which,which/country
league,143,which,which/league
did,142,what/roles,what/roles/did
role,134,what,what/role
the,134,when/did,when/did/the
group,131,which,which/group
year,130,which,which/year
was,126,where,where/was
total,125,how/many,how/many/total
the,122,what,what/the
years,118,how/many,how/many/years
player,117,which,which/player
are,115,,are
did,115,what/role,what/role/did
awards,113,what,what/awards
the,111,when,when/the
percentage,109,is/the,is/the/percentage
appearances,106,how/many,how/many/appearances
points,105,how/many,how/many/points
type,104,which,which/type
the,101,where/was,where/was/the
did,101,which/league,which/league/did
and,101,when,when/and
was,100,what/date,what/date/was
position,98,what,what/position
country,98,what,what/country
by,95,,by
two,94,what,what/two
date,91,which,which/date
the,90,how/did,how/did/the
of,89,which/type,which/type/of
more,87,who/were,who/were/more
of,85,which/group,which/group/of
the,85,did,did/the
two,81,which,which/two
rushing,81,how/many,how/many/rushing
films,81,what,what/films
did,80,what/awards,what/awards/did
happened,79,what,what/happened
is,78,where,where/is
club,77,what,what/club
votes,77,how/many,how/many/votes
province,75,which,which/province
award,75,what,what/award
seasons,75,how/many,how/many/seasons
the,73,who/had,who/had/the
did,73,how/much,how/much/did
year,72,in/which,in/which/year
age,70,which,which/age
has,69,who,who/has
was,69,how,how/was
episodes,69,how/many,how/many/episodes
years,67,what,what/years
well,66,how,how/well
did,64,what/date,what/date/did
did,63,how/long,how/long/did
what,62,by,by/what
number,62,what,what/number
passing,61,how/many,how/many/passing
are,61,who,who/are
directed,61,who,who/directed
group,60,which/age,which/age/group
type,59,what,what/type
did,59,what/films,what/films/did
did,58,how/well,how/well/did
season,58,which,which/season
of,58,which/kind,which/kind/of
kind,58,which,which/kind
league,56,how/many,how/many/league
wrote,55,who,who/wrote
yards,55,how/many,how/many/yards
kind,54,what,what/kind
player,54,what,what/player
to,53,what/happened,what/happened/to
of,53,what/kind,what/kind/of
thousand,53,how/many,how/many/thousand
of,52,how/many,how/many/of
day,52,what,what/day
players,52,how/many,how/many/players
played,51,who,who/played
is,51,which,which/is
opponent,51,which,which/opponent
venue,51,which,which/venue
does,50,,does
different,50,how/many,how/many/different
region,49,which,which/region
of,49,what/type,what/type/of
teams,49,how/many,how/many/teams
the,48,where/is,where/is/the
time,48,what,what/time
the,48,who/directed,who/directed/the
place,48,what,what/place
party,48,what,what/party
seats,47,how/many,how/many/seats
sector,47,which,which/sector
where,46,when/and,when/and/where
touchdowns,46,how/many,how/many/touchdowns
album,45,which,which/album
episode,45,what,what/episode
did,45,what/award,what/award/did
receptions,44,how/many,how/many/receptions
every,44,what/is,what/is/every
the,44,what/did,what/did/the
other,43,what,what/other
consecutive,43,how/many,how/many/consecutive
did,42,what/position,what/position/did
did,42,what/years,what/years/did
he,42,did,did/he
party,42,which,which/party
did,42,what/club,what/club/did
home,42,which,which/home
wins,41,how/many,how/many/wins
did,41,what/team,what/team/did
season,41,what,what/season
has,41,which/country,which/country/has
has,41,which/date,which/date/has
sex,40,which,which/sex
city,40,what,what/city
gender,40,which,which/gender
has,40,which/player,which/player/has
tournament,40,which,which/tournament
the,40,where/did,where/did/the
event,40,what,what/event
position,38,which,which/position
percent,38,what/the,what/the/percent
the,38,who/are,who/are/the
away,38,which,which/away
was,37,how/long,how/long/was
the,37,who/wrote,who/wrote/the
matches,36,how/many,how/many/matches
how,35,in,in/how
many,35,in/how,in/how/many
nation,35,which,which/nation
some,34,what/are,what/are/some
did,34,which/team,which/team/did
more,34,how/many,how/many/more
driver,34,which,which/driver
the,34,who/did,who/did/the
percentage,34,by/what,by/what/percentage
has,34,which,which/has
