question,answer
"Who is the current president of Brigham Young University-Hawaii (BYU-Hawaii), and what number president is he overall?",John Sears Tanner is the 10th and current President of Brigham Young University-Hawaii (BYU-Hawaii).
How jumboized was the tanker T3-S2-A3?,"T3-S2-A3 tanker was ""jumboized"" extending the length from 553 to 644 feet, consequently increasing the tonnage."
"How many appearances did Michael McIndoe make for Doncaster Rovers, and how many goals did he score?","McIndoe made 142 appearances for the Doncaster Rovers, scoring 35 goals."
What role did Toby Hemingway play in The Covenant in 2006?,Toby Hemingway played Reid Garwin in the 2006 film The Covenant.
With which team did Frank de Boer spend 5 years and with which other teams did he have short spells?,"Frank de Boer spent five years at Barcelona and spent short spells with Galatasaray, Rangers, Al-Rayyan and Al-Shamal."
What were the highlights of the second match at the 2012–13 Momentum One Day Cup?,"The second match saw the Lions bat first and make 241/7 in their innings, with the Cobras 69/2."
What was La Tahzan nominated for at the 2014 Indonesian Movie Awards?,"La Tahzan was nominated for ""Favorite Film"" at the 2014 Indonesian Movie Awards."
"Who coached the Nebraska Cornhuskers from 1896-1898, and how did they do?","Eddie N. Robinson (1896–1897, 11–4–1, 0.719) and Fielding Yost (1898, 8–3, 0.727), were the Nebraska coaches."
Which top flight First Division teams were most recently in the Premier League?,Both Luton Town and Notts County were in the 1991–92 Premier League clubs.
What events were included in the 1923 Women's World Games?,"The athletes competed in 11 events: running (60 metres, 250 metres, 800 metres, 4 x 75 metres relay, 4 x 175 metres relay and hurdling 65 metres), high jump, long jump, javelin, shot put and Athletics pentathlon."
Did Abdallah Salem el-Badri serve as secretary general of OPEC?,"Abdallah Salem el-Badri served as Secretary General of OPEC, holding the position in 1994 and then 2007–2016."
What films did Muthiah work in 2008 and 2009 and who directed them?,"Muthiah has worked on films like Poo (2008) and Kanden Kadhalai (2009), which was directed by R. Kannan."
What was the outcome of the 1967 Japanese general election?,"The 1967 Japanese general election result was a victory for the Liberal Democratic Party, which won 277 of the 486 seats."
What club did Brown Ideye move to in2017?,Brown Ideye left Olympiakos for the Chinese Super League side Tianjin Teda in 2017.
Who did the Indigenous All Stars initially play in the All Stars Match?,"Between 2010 and 2015, the Indigenous All Stars opponent was an NRL All Stars team, they were replaced for 2016 by a World All Stars team."
Who did Truman appoint as US Ambassador to Mexico in 1950 and how long did they serve in that role?,"Harry Truman appointed William O'Dwyer as U.S. Ambassador to Mexico in 1950, who served until 1952."
When did Kari Tiainen win the International Six Days Enduro (ISDE) World Trophy for Finland?,"Kari Tiainen won the International Six Days Enduro (ISDE) World Trophy for Finland in 1996, 1998, 1999 and 2003."
"How long did C. W. Martin serve as coach for North Carolina, what were the years, and what was his overall record?","C. W. Martin served at the University of North Carolina for one season in 1912, compiling a record of 3–4–1."
What date and region was Sun released via Matador?,"Sun was released on September 3, 2012, in the United Kingdom and in the United States on September 4, 2012, via Matador."
What were Anoop's first four films?,"After making Niranjana Anoop's debut in Yasagan (2014), she appeared in the films Soan Papdi (2015), Loham (2015) and 465 (2017)."
Who received two Tony Awards for her role in Waitress and Carousel?,"Jessie Mueller received two Tony Awards from her best actress nominations for her roles in Waitress,in 2016, and Carousel, in 2018."
Which is the sequel to the 2008 film Iron Man and which number is it in the Marvel Cinematic Universe list?,"Iron Man 2 is the sequel to 2008's, Iron Man and is the third film in the Marvel Cinematic Universe (MCU)."
"How many seats do The Perth Wildcats have 14,846 seats at Perth Arena?","The Perth Wildcats played at Perth Arena, which had a 14,846 seat capacity."
What was Toby Wynn's result in his first year at Emporia State?,"In his first year at Emporia State, Wynn lead the Lady Hornets to a 22–9 overall, 13–6 conference."
When was Rogers the Mayor of Plymouth?,Rogers was Mayor of Plymouth in 1722 and again in 1741.
What honor did Masakazu Imanari achieve twice by defeating Tatsunao Nagakura and Yoshiro Maeda?,Masakazu Imanari was a two-time DEEP featherweight champion.
